"zip","city","state","lat","long","count","spending"
"87712","Buena Vista","new mexico",35.881516,-105.18498,7,33479.99
"87714","Cimarron","new mexico",36.59956,-105.01333,183,226137.77
"87715","Cleveland","new mexico",36.006137,-105.39831,5,1874.9
"87718","Eagle Nest","new mexico",36.595247,-105.29165,70,51103.69
"87722","Guadalupita","new mexico",36.188161,-105.23043,71,360692.22
"87723","Holman","new mexico",36.045092,-105.3833,18,150088.8
"87728","Maxwell","new mexico",36.565525,-104.52049,40,44101.46
"87729","Miami","new mexico",36.358816,-104.82618,19,45755.18
"87730","Mills","new mexico",36.132502,-104.23902,3,2685.59
"87731","Montezuma","new mexico",35.711505,-105.41406,12,4144.45
"87732","Mora","new mexico",35.971938,-105.34137,610,7476513.44
"87733","Mosquero","new mexico",35.80364,-103.90051,20,1109351.22
"87736","Rainsville","new mexico",35.974115,-105.17633,10,1101.83
"87740","Raton","new mexico",36.78767,-104.38693,3796,22785740.99
"87742","Rociada","new mexico",35.856035,-105.42596,7,1583.2
"87743","Roy","new mexico",36.004279,-103.86353,33,1060016.59
"87745","Sapello","new mexico",35.751778,-105.2258,21,473533.68
"87747","Springer","new mexico",36.366344,-104.39211,596,2574900.79
"87749","Ute Park","new mexico",36.606924,-104.692463,7,2234.84
"87752","Wagon Mound","new mexico",36.02239,-104.65018,20,57445.23
"87753","Watrous","new mexico",35.880398,-104.98925,1,22500
"87801","Socorro","new mexico",33.953237,-106.93722,6172,19020167.91
"87820","Aragon","new mexico",33.871414,-108.57547,7,840
"87821","Datil","new mexico",33.934215,-108.05889,21,30918.2
"87823","Lemitar","new mexico",34.150585,-106.92814,149,279576.45
"87825","Magdalena","new mexico",34.139451,-107.36816,82,584862.25
"87827","Pie Town","new mexico",34.387137,-108.14528,8,16473.7
"87829","Quemado","new mexico",34.330192,-108.63899,153,207077.21
"87830","Reserve","new mexico",33.638186,-108.66387,85,96327.06
"87831","San Acacia","new mexico",34.326229,-106.87734,190,25119.24
"87832","San Antonio","new mexico",34.046275,-106.60285,134,87365
"87901","Truth Or Consequences","new mexico",33.148245,-107.18741,5514,22816327.78
"87930","Arrey","new mexico",32.807462,-107.32655,2,493.28
"87931","Caballo","new mexico",32.969955,-107.36322,36,1000961.51
"87935","Elephant Butte","new mexico",33.208473,-107.22065,231,3360599.85
"87936","Garfield","new mexico",32.760034,-107.27535,19,3910.67
"87937","Hatch","new mexico",32.603957,-107.16806,4928,7195161.74
"87939","Monticello","new mexico",33.377012,-107.43337,31,70172.04
"87941","Salem","new mexico",32.699873,-107.13794,2,2110.41
"87942","Williamsburg","new mexico",33.095526,-107.35393,412,73188.25
"87943","Winston","new mexico",33.252863,-107.69183,37,48272.08
"88001","Las Cruces","new mexico",32.300193,-106.76078,4248,40279672.06
"88002","White Sands Missile Range","new mexico",32.355099,-106.46884,7,158934.62
"88003","Las Cruces","new mexico",32.279944,-106.7541,766,20625448.49
"88004","Las Cruces","new mexico",32.204171,-106.93052,4354,31169630.48
"88005","Las Cruces","new mexico",32.347752,-106.81463,5314,34219994.72
"88006","Las Cruces","new mexico",32.305193,-106.786259,405,9054394.76
"88007","Las Cruces","new mexico",32.356091,-106.830111,2108,6307966.24
"88008","Santa Teresa","new mexico",31.879712,-106.71763,121,576038.43
"88011","Las Cruces","new mexico",32.312506,-106.70306,890,10670240.38
"88012","Las Cruces","new mexico",32.417871,-106.6977,2091,1161606.55
"88013","Las Cruces","new mexico",32.31,-106.79,66,473522.91
"88020","Animas","new mexico",31.861247,-108.81515,472,62815.94
"88021","Anthony","new mexico",32.013822,-106.5443,1267,14881576.79
"88022","Arenas Valley","new mexico",32.781205,-108.15795,21,5897.93
"88023","Bayard","new mexico",32.774869,-108.10736,45,1733750.98
"88026","Santa Clara","new mexico",32.775681,-108.15359,70,195796.46
"88028","Cliff","new mexico",32.53667,-108.327898,395,741409.45
"88029","Columbus","new mexico",31.823645,-107.73529,15,17000.63
"88030","Deming","new mexico",32.223023,-107.71282,3623,6631558.92
"88031","Deming","new mexico",32.239815,-107.74042,1580,4069721.55
"88032","Dona Ana","new mexico",32.393919,-106.800976,210,4024113.84
"88033","Fairacres","new mexico",32.19563,-107.10461,91,359927.74
"88038","Gila","new mexico",32.961804,-108.44042,14,67494.85
